CategoryID,MissionID,MissionTypeID,Target,TargetReachType,SortIndex,ParentMissionID,RewardPoolID,ResChType,ResChRaceID,ResChNFTOnly,ResWpType,ResWpClass,ResWpCollectionID,ResGameModeID,ResEventType
MissionTest,MissionTest_1,ingame_kill_distance_close,10,sum,0,,,,,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_0_1,ingame_win_match,10,sum,0,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_1_1,ingame_defeat_enemies,100,sum,0,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_1_2,ingame_kill_with_ultimate_FreeCharacter1_Skill,20,sum,1,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_1_3,ingame_heal,28000,sum,2,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_2_1,ingame_play_match,30,sum,0,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_2_2,ingame_rumble_collect_stars,75,sum,1,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_2_3,ingame_kill_with_ultimate_FreeCharacter1_Skill,25,sum,2,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_3_1,ingame_play_match,30,sum,0,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_3_2,ingame_rumble_collect_stars,75,sum,1,,,,Tiger,,,,,128.0,
Ch1_Mastery,Mastery_FREE_Character1_3_3,ingame_win_match,50,sum,2,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_4_1,ingame_kill_with_ultimate_FreeCharacter1_Skill,30,sum,0,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_4_2,ingame_play_match,50,sum,1,,,,Tiger,,,,,,
Ch1_Mastery,Mastery_FREE_Character1_4_3,meta_character_talent_learn,20,sum,2,,,,Tiger,,,,,,
