identifier,collection,name,url,thumbnailUrl,owner,rank,priceCurrency,priceAmount,xp,wear,level,starLevel,Damage,Reload Time,Ammo,Range,realPriceAmount
CRMYTH-546419-01,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,24,0.3,1,3,130,0.1,65,9.0,
CRMYTH-546419-0100,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,81,1.0,2,1,134,0.1,65,8.5,
CRMYTH-546419-0101,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,1734,12.2,4,1,142,0.1,65,8.5,
CRMYTH-546419-0102,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,4,0.3,1,1,130,0.1,65,8.5,
CRMYTH-546419-0103,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,26,1.1,1,1,130,0.1,65,8.5,
CRMYTH-546419-0104,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,11253,3.9,9,1,162,0.1,65,8.5,
CRMYTH-546419-0105,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0,0.0,1,1,130,0.1,65,8.5,
CRMYTH-546419-0106,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0,0.0,1,1,130,0.1,65,8.5,
CRMYTH-546419-0107,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,1255,6.0,5,1,146,0.1,65,8.5,
CRMYTH-546419-0108,CRMYTH-546419,Dragonbreath,https://media.elrond.com/nfts/asset/bafybeicqb2biuys7hxhdylxr2zi5zpttaaycaumqu3gahhgt4s7tbxvj7y/Dragonbreath.png,https://media.elrond.com/nfts/thumbnail/CRMYTH-546419-9c167a03,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,,,,76143,59.3,12,2,196,0.1,65,9.0,
