identifier,collection,name,url,thumbnailUrl,owner,rank,Species,Rarity Class,Head,Face,Skin,Eyes,Mouth,Earrings,Headgear,Body,Legs,LegAccessories,Background,Perk 1,Perk 2,priceCurrency,priceAmount,level,character_tokens,health,shield,talent_points_available,talent_points_total,earn_rate,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
CEA-2d29f9-01,CEA-2d29f9,Genesis Cantina Elrond Ape #1598,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1598.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-e0f6e503,erd1gy0x087as37k58g5qvf42xnl98zs4dnde4073vaneeu8y983ldasduqa5q,1953,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,None,None,None,None,Tank Shirt Green,Tactical Pants Blue,Tactical Bags Blue,Desert,Scavenger,Escape Artist,,,5,4,2951,1531,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0
CEA-2d29f9-0100,CEA-2d29f9,Genesis Cantina Elrond Ape #2028,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2028.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-aa326306,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1511,Genesis Cantina Elrond Ape,Bronze,Default,Camo Closed,Camo,Cybermeta Tokyo,None,None,None,T Shirt Blue,Tactical Pants Brown,Titan Bags Green,Desert,Automatic Weapons Proficiency,Grounded,,,1,20,2600,1350,0,0,1.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
CEA-2d29f9-0101,CEA-2d29f9,Genesis Cantina Elrond Ape #1103,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1103.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1bb26255,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,836,Genesis Cantina Elrond Ape,Silver,Default,Grey Open,Augmented,None,Bubble Gum,None,Bowler,Pilot Armor Orange,Company Pants Yellow,Tech Belt Grey,Artic,Brawler,Elemental Weapons Proficiency,,,7,945,3364,1743,5,5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
CEA-2d29f9-0102,CEA-2d29f9,Genesis Cantina Elrond Ape #346,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/346.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-617f95d6,erd1tf89ftt8fn6cjj775pt49rqra5g0cwzn6shrv3k0z83j4f5zlhwst6hpsd,195,Genesis Cantina Elrond Ape,Epic,Default,Platinum Open,Platinum,MetaScreen EAC,Pacifier,None,Sponge,Titan Armor Blue,Mercenary Pants Black,Quad Grenades 1 Black,Outworld,Automatic Weapons Proficiency,Stonewall,,,6,563,3443,1896,0,0,1.48,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
CEA-2d29f9-0103,CEA-2d29f9,Genesis Cantina Elrond Ape #2144,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2144.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-758309c7,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1995,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,None,None,None,None,Hoodie Brown,Pilot Pants Black,Company Bags Black,Desert,Escape Artist,Elemental Weapons Proficiency,,,3,23,2731,1417,0,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10
CEA-2d29f9-0104,CEA-2d29f9,Genesis Cantina Elrond Ape #1972,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1972.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-5fa13be7,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1166,Genesis Cantina Elrond Ape,Bronze,Default,Blue Open,Blue,Monolaser,Pipe,Punk,None,Tank Shirt Brown,Pilot Pants Brown,Company Bags Brown,Desert,Overshield,Black Widow,,,2,17,2652,1376,0,0,1.08,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEA-2d29f9-0105,CEA-2d29f9,Genesis Cantina Elrond Ape #1267,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/1267.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-ff97cd2b,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,666,Genesis Cantina Elrond Ape,Silver,Default,Camo Open,Camo,None,Lollipop,Tribal,Bowler,Tactical Vest Green,Company Pants Yellow,Titan Bags Blue,Artic,Scavenger,Automatic Weapons Proficiency,,,6,2350,3206,1661,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0
CEA-2d29f9-0106,CEA-2d29f9,Genesis Cantina Elrond Ape #2140,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2140.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-c296df78,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,1533,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Cybermeta Tokyo,None,None,None,Large Vest Brown,Tactical Pants Black,Titan Bags Red,Desert,Nano Meds,Cool Moves,,,1,36,2600,1350,0,0,1.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0
CEA-2d29f9-0107,CEA-2d29f9,Genesis Cantina Elrond Ape #295,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/295.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-1f1d429a,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,668,Genesis Cantina Elrond Ape,Epic,Default,Platinum Closed,Platinum,Green Visor,None,None,Gold Crown,Pilot Armor Green,Mercenary Pants Red,Company Bags Black,Outworld,Nano Meds,Cold Blooded,,,9,6835,4001,2203,15,15,1.88,1,1,0,0,1,1,0,1,12,1,11,0,3,0,0,3,0,0,0,0,0
CEA-2d29f9-0108,CEA-2d29f9,Genesis Cantina Elrond Ape #2041,https://media.elrond.com/nfts/asset/bafybeiggyrikwxvdqaijyyxvft36pwjlipou7nb72wcto32ry6j5ppcooq/2041.png,https://media.elrond.com/nfts/thumbnail/CEA-2d29f9-b3891852,erd1s2mrygr73futwevcyn0e49hq6uac684ucgdzen6dqwxw643k9gkqsznytn,1672,Genesis Cantina Elrond Ape,Bronze,Default,Blue Closed,Blue,Steampunk,None,None,None,T Shirt Brown,Tactical Pants Blue,Company Bags Black,Desert,Grounded,Overachiever,,,3,24,2731,1417,0,0,1.17,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
