identifier,collection,name,url,thumbnailUrl,owner,rank,priceCurrency,priceAmount,Background,Body,Earrings,Eyes,Face,Head,Headgear,LegAccessories,Legs,Mouth,Perk 1,Perk 2,Rarity Class,Skin,Species,level,health,shield,talent_points_available,talent_points_total,earn_rate,character_tokens,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
CRCHAMPS-d0265d-01,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-84693664,erd17w67uguhupwsy2svk83e62akx2aqugp5pkxjeq8c7a4cy9z747qqhsxxuu,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Adrenaline Rush,Nano Meds,Gold,Scarred,Space Shark,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0100,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Scavenger,Black Widow,Legendary,Bioluminescent,Space Shark,1,0,0,0,0,0.0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0101,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Grounded,Escape Artist,Legendary,Bioluminescent,Space Shark,1,0,0,0,0,0.0,175,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0102,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Cool Moves,Galvanized,Legendary,Bioluminescent,Space Shark,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0103,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Black Widow,Cool Moves,Legendary,Bioluminescent,Space Shark,1,0,0,0,0,0.0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0104,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Stonewall,Scavenger,Legendary,Bioluminescent,Space Shark,2,60,30,0,0,0.08,5,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0105,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/epic_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9e7fa44d,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Hawaii,None,Angry,None,None,Sunglasses,None,Hawaii,Cigar,Automatic Weapons Proficiency,Galvanized,Epic,Maui,Space Shark,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0106,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Legendary,Bioluminescent,Space Shark,6,563,322,0,0,0.48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0107,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Resilience,Grounded,Legendary,Bioluminescent,Space Shark,1,0,0,0,0,0.0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
CRCHAMPS-d0265d-0108,CRCHAMPS-d0265d,CantinaRoyaleChamps,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/legendary_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRCHAMPS-d0265d-9bdd5bac,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,None,Atlantis,None,Artefact,None,None,Atlantis,None,Atlantis,Angry,Adrenaline Rush,Overachiever,Legendary,Bioluminescent,Space Shark,1,0,0,0,0,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
