identifier,collection,name,url,thumbnailUrl,owner,rank,priceCurrency,priceAmount,xp,wear,level,starLevel,Damage,Reload Time,Ammo,Range,realPriceAmount
CRWEAPONS-e5ab49-01,CRWEAPONS-e5ab49,Boomstick-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/Boomstick-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-40c00fbf,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,529.0,1.5,3.0,3.0,2406.0,2.1,3.0,9.0,
CRWEAPONS-e5ab49-0100,CRWEAPONS-e5ab49,Mortar Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/MortarGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-57abe93a,erd1vrw993xn0rxx48n9gqxz8u9v0yt7rxwu3n98896h36jwxkf6zgsqnvd4gx,,,,41.0,0.1,1.0,2.0,1400.0,3.0,3.0,8.5,
CRWEAPONS-e5ab49-0101,CRWEAPONS-e5ab49,Tesla Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/TeslaGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-c8a37fdb,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,3429.0,0.0,6.0,5.0,1600.0,2.7,2.0,9.5,
CRWEAPONS-e5ab49-0103,CRWEAPONS-e5ab49,Mortar Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/MortarGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-57abe93a,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0.0,0.0,1.0,3.0,1400.0,3.0,3.0,8.5,
CRWEAPONS-e5ab49-0105,CRWEAPONS-e5ab49,Tesla Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/TeslaGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-c8a37fdb,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0.0,0.0,1.0,2.0,1000.0,2.7,2.0,9.5,
CRWEAPONS-e5ab49-0107,CRWEAPONS-e5ab49,Railgun-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/RailGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-e635665b,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,,,,0.0,0.0,1.0,1.0,1000.0,2.4,2.0,10.0,
CRWEAPONS-e5ab49-0108,CRWEAPONS-e5ab49,Railgun-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/RailGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-e635665b,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,,,,0.0,0.0,1.0,1.0,1000.0,2.4,2.0,10.0,
CRWEAPONS-e5ab49-0112,CRWEAPONS-e5ab49,Railgun-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/RailGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-e635665b,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,,,,0.0,0.0,1.0,1.0,1000.0,2.4,2.0,10.0,
CRWEAPONS-e5ab49-0114,CRWEAPONS-e5ab49,Boomstick-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/Boomstick-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-40c00fbf,erd1ekafyklw8gulc6rcrrvqqmygfz0j4tp60daqf7esuxac85cvmr8sr5gx3d,,,,5101.0,10.3,7.0,3.0,2618.0,2.1,3.0,9.0,
CRWEAPONS-e5ab49-0122,CRWEAPONS-e5ab49,Tesla Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/TeslaGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-c8a37fdb,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,121200.0,100.0,17.0,6.0,2800.0,2.7,2.0,9.5,
CRWEAPONS-e5ab49-0123,CRWEAPONS-e5ab49,Boomstick-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/Boomstick-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-40c00fbf,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,,,,0.0,0.0,1.0,2.0,2300.0,2.1,3.0,9.0,
CRWEAPONS-e5ab49-0129,CRWEAPONS-e5ab49,Boomstick-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/Boomstick-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-40c00fbf,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0.0,0.0,1.0,1.0,2200.0,2.1,3.0,9.0,
CRWEAPONS-e5ab49-0137,CRWEAPONS-e5ab49,Boomstick-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/Boomstick-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-40c00fbf,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,149.0,0.2,2.0,2.0,2344.0,2.1,3.0,9.0,
CRWEAPONS-e5ab49-013e,CRWEAPONS-e5ab49,Mortar Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/MortarGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-57abe93a,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,,,,530.0,0.4,3.0,1.0,1448.0,3.0,3.0,8.0,
CRWEAPONS-e5ab49-0144,CRWEAPONS-e5ab49,Boomstick-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/Boomstick-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-40c00fbf,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,10376.0,43.1,8.0,2.0,2608.0,2.1,3.0,9.0,
CRWEAPONS-e5ab49-0147,CRWEAPONS-e5ab49,Mortar Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/MortarGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-57abe93a,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0.0,0.0,1.0,1.0,1400.0,3.0,3.0,8.0,
CRWEAPONS-e5ab49-0149,CRWEAPONS-e5ab49,Railgun-X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/RailGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-e635665b,erd1qqqqqqqqqqqqqpgq6wegs2xkypfpync8mn2sa5cmpqjlvrhwz5nqgepyg8,,,,0.0,0.0,1.0,1.0,1000.0,2.4,2.0,10.0,
CRWEAPONS-e5ab49-014c,CRWEAPONS-e5ab49,Tesla Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/TeslaGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-c8a37fdb,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,163.0,0.0,1.0,3.0,1000.0,2.7,2.0,9.5,
CRWEAPONS-e5ab49-0150,CRWEAPONS-e5ab49,Tesla Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/TeslaGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-c8a37fdb,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0.0,0.0,1.0,1.0,1000.0,2.7,2.0,9.0,
CRWEAPONS-e5ab49-0154,CRWEAPONS-e5ab49,Mortar Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/MortarGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-57abe93a,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,337.0,0.3,3.0,2.0,1464.0,3.0,3.0,8.5,
CRWEAPONS-e5ab49-0155,CRWEAPONS-e5ab49,Tesla Gun X,https://media.elrond.com/nfts/asset/bafybeibrxxffbbdt6ile7cvm4lmnggrqkxlaz3v7mden4gct32ch5sg5im/TeslaGun-X.png,https://media.elrond.com/nfts/thumbnail/CRWEAPONS-e5ab49-c8a37fdb,erd1qqqqqqqqqqqqqpgq5dz6p0nsz35sht95kp6vjrznffzqpq79a9rsputqa4,,,,0.0,0.0,1.0,4.0,1000.0,2.7,2.0,9.5,
