PoolID,MinRank,MaxRank,RewardPoolID
1,1,1,arena_rank_1_1_1
1,2,2,arena_rank_1_2_2
1,3,3,arena_rank_1_3_3
1,4,10,arena_rank_1_4_10
1,11,50,arena_rank_1_11_50
1,51,500,arena_rank_1_51_500
1,501,1500,arena_rank_1_501_1500
1,1501,5000,arena_rank_1_1501_5000
2,1,1,arena_rank_2_1_1
2,2,2,arena_rank_2_2_2
2,3,3,arena_rank_2_3_3
2,4,10,arena_rank_2_4_10
2,11,50,arena_rank_2_11_50
2,51,500,arena_rank_2_51_500
2,501,1500,arena_rank_2_501_1500
3,1,1,arena_rank_3_1_1
3,2,2,arena_rank_3_2_2
3,3,3,arena_rank_3_3_3
3,4,10,arena_rank_3_4_10
3,11,50,arena_rank_3_11_50
3,51,100,arena_rank_3_51_100
3,101,500,arena_rank_3_101_500
4,1,1,arena_rank_4_1_1
4,2,2,arena_rank_4_2_2
4,3,3,arena_rank_4_3_3
4,4,10,arena_rank_4_4_10
4,11,50,arena_rank_4_11_50
4,51,100,arena_rank_4_51_100
4,101,500,arena_rank_4_101_500
4,501,1000,arena_rank_4_501_1000
10,1,1,arena_rank_10_1_1
10,2,2,arena_rank_10_2_2
10,3,3,arena_rank_10_3_3
10,4,10,arena_rank_10_4_10
10,11,50,arena_rank_10_11_50
10,51,100,arena_rank_10_51_100
10,101,500,arena_rank_10_101_500
11,1,1,arena_rank_11_1_1
11,2,2,arena_rank_11_2_2
11,3,3,arena_rank_11_3_3
11,4,10,arena_rank_11_4_10
11,11,50,arena_rank_11_11_50
11,51,100,arena_rank_11_51_100
11,101,500,arena_rank_11_101_500
11,501,1000,arena_rank_11_501_1000
12,1,1,arena_rank_12_1_1
12,2,2,arena_rank_12_2_2
12,3,3,arena_rank_12_3_3
12,4,10,arena_rank_12_4_10
12,11,50,arena_rank_12_11_50
12,51,100,arena_rank_12_51_100
12,101,500,arena_rank_12_101_500
12,501,1000,arena_rank_12_501_1000
99,1,1,arena_rank_99_1_1
99,2,2,arena_rank_99_2_2
99,3,3,arena_rank_99_3_3
99,4,5,arena_rank_99_4_5
20,1,1,arena_rank_20_1_1
20,2,2,arena_rank_20_2_2
20,3,3,arena_rank_20_3_3
20,4,10,arena_rank_20_4_10
20,11,50,arena_rank_20_11_50
20,51,100,arena_rank_20_51_100
20,101,500,arena_rank_20_101_500
21,1,1,arena_rank_21_1_1
21,2,2,arena_rank_21_2_2
21,3,3,arena_rank_21_3_3
21,4,10,arena_rank_21_4_10
21,11,50,arena_rank_21_11_50
21,51,100,arena_rank_21_51_100
21,101,500,arena_rank_21_101_500
21,501,1000,arena_rank_21_501_1000
22,1,1,arena_rank_22_1_1
22,2,2,arena_rank_22_2_2
22,3,3,arena_rank_22_3_3
22,4,10,arena_rank_22_4_10
22,11,50,arena_rank_22_11_50
22,51,100,arena_rank_22_51_100
22,101,250,arena_rank_22_101_250
22,251,750,arena_rank_22_251_750
101,1,1,arena_rank_101_1_1
101,2,2,arena_rank_101_2_2
101,3,3,arena_rank_101_3_3
101,4,10,arena_rank_101_4_10
101,11,50,arena_rank_101_11_50
101,51,100,arena_rank_101_51_100
101,101,250,arena_rank_101_101_250
101,251,500,arena_rank_101_251_500
201,1,1,arena_rank_201_1_1
201,2,2,arena_rank_201_2_2
201,3,3,arena_rank_201_3_3
201,4,4,arena_rank_201_4_4
201,5,5,arena_rank_201_5_5
201,6,10,arena_rank_201_6_10
201,11,25,arena_rank_201_11_25
201,26,50,arena_rank_201_26_50
201,51,100,arena_rank_201_51_100
201,101,150,arena_rank_201_101_150
201,151,250,arena_rank_201_151_250
201,250,500,arena_rank_201_250_500
202,1,1,arena_rank_202_1_1
202,2,2,arena_rank_202_2_2
202,3,3,arena_rank_202_3_3
202,4,4,arena_rank_202_4_4
202,5,5,arena_rank_202_5_5
202,6,10,arena_rank_202_6_10
202,11,25,arena_rank_202_11_25
202,26,50,arena_rank_202_26_50
202,51,100,arena_rank_202_51_100
202,101,150,arena_rank_202_101_150
202,151,200,arena_rank_202_151_200
202,201,250,arena_rank_202_201_250
