Type,ID,Price,Vitality,Defense,Agility,Perk1,Perk1Value,Perk2,Perk2Value,LevelCap,ShardEarnRateMultiplier,CrownEarnRateMultiplier,ImageURL
-1,FreeCharacter1,price_ch_purchase_1,40.0,40.0,40.0,Cool Moves,50.0,,0.0,50,1.0,0.0,https://cdn.cantinaroyale.io/characters/FreeCharacter1.png
-1,FreeCharacter2,price_ch_purchase_2,45.0,43.0,40.0,Grounded,53.0,,0.0,50,1.1,0.0,https://cdn.cantinaroyale.io/characters/FreeCharacter2.png
-1,FreeCharacter3,price_ch_purchase_3,48.0,40.0,43.0,Explosive Weapons Proficiency,60.0,,0.0,50,1.0,0.0,https://cdn.cantinaroyale.io/characters/FreeCharacter3.png
-1,FreeCharacter4,price_ch_purchase_4,54.0,47.0,42.0,Cold Blooded,55.0,,0.0,50,1.05,0.0,https://cdn.cantinaroyale.io/characters/FreeCharacter4.png
-1,FreeCharacter5,price_ch_purchase_5,55.0,50.0,50.0,Scavenger,50.0,,0.0,50,1.0,0.0,https://cdn.cantinaroyale.io/characters/FreeCharacter5.png
0,,,,,,,,,,100,1.1,1.0,
1,,,,,,,,,,100,1.15,1.0,
2,,,,,,,,,,100,1.2,1.0,
3,,,,,,,,,,100,1.25,1.0,
4,,,,,,,,,,100,1.3,1.0,
