CharacterType,Level,MissionID,LevelReq
FREE_Character1,0,Mastery_FREE_Character1_0_1,0
FREE_Character1,1,Mastery_FREE_Character1_1_1,0
FREE_Character1,1,Mastery_FREE_Character1_1_2,0
FREE_Character1,1,Mastery_FREE_Character1_1_3,0
FREE_Character1,2,Mastery_FREE_Character1_2_1,0
FREE_Character1,2,Mastery_FREE_Character1_2_2,0
FREE_Character1,2,Mastery_FREE_Character1_2_3,3
FREE_Character1,3,Mastery_FREE_Character1_3_1,0
FREE_Character1,3,Mastery_FREE_Character1_3_2,4
FREE_Character1,3,Mastery_FREE_Character1_3_3,7
FREE_Character1,4,Mastery_FREE_Character1_4_1,0
FREE_Character1,4,Mastery_FREE_Character1_4_2,8
FREE_Character1,4,Mastery_FREE_Character1_4_3,10
FREE_Character1,5,Mastery_FREE_Character1_5_1,0
FREE_Character1,5,Mastery_FREE_Character1_5_2,11
FREE_Character1,5,Mastery_FREE_Character1_5_3,12
FREE_Character1,6,Mastery_FREE_Character1_6_1,0
FREE_Character1,6,Mastery_FREE_Character1_6_2,13
FREE_Character1,6,Mastery_FREE_Character1_6_3,14
FREE_Character1,7,Mastery_FREE_Character1_7_1,0
FREE_Character1,7,Mastery_FREE_Character1_7_2,15
FREE_Character1,7,Mastery_FREE_Character1_7_3,16
FREE_Character1,8,Mastery_FREE_Character1_8_1,0
FREE_Character1,8,Mastery_FREE_Character1_8_2,18
FREE_Character1,8,Mastery_FREE_Character1_8_3,18
FREE_Character1,9,Mastery_FREE_Character1_9_1,19
FREE_Character1,9,Mastery_FREE_Character1_9_2,19
FREE_Character1,9,Mastery_FREE_Character1_9_3,19
FREE_Character1,10,Mastery_FREE_Character1_10_1,20
FREE_Character1,10,Mastery_FREE_Character1_10_2,20
FREE_Character1,10,Mastery_FREE_Character1_10_3,20
FREE_Character2,0,Mastery_FREE_Character2_0_1,0
FREE_Character2,1,Mastery_FREE_Character2_1_1,0
FREE_Character2,1,Mastery_FREE_Character2_1_2,0
FREE_Character2,1,Mastery_FREE_Character2_1_3,0
FREE_Character2,2,Mastery_FREE_Character2_2_1,0
FREE_Character2,2,Mastery_FREE_Character2_2_2,0
FREE_Character2,2,Mastery_FREE_Character2_2_3,3
FREE_Character2,3,Mastery_FREE_Character2_3_1,0
FREE_Character2,3,Mastery_FREE_Character2_3_2,4
FREE_Character2,3,Mastery_FREE_Character2_3_3,7
FREE_Character2,4,Mastery_FREE_Character2_4_1,0
FREE_Character2,4,Mastery_FREE_Character2_4_2,8
FREE_Character2,4,Mastery_FREE_Character2_4_3,10
FREE_Character2,5,Mastery_FREE_Character2_5_1,0
FREE_Character2,5,Mastery_FREE_Character2_5_2,11
FREE_Character2,5,Mastery_FREE_Character2_5_3,12
FREE_Character2,6,Mastery_FREE_Character2_6_1,0
FREE_Character2,6,Mastery_FREE_Character2_6_2,13
FREE_Character2,6,Mastery_FREE_Character2_6_3,14
FREE_Character2,7,Mastery_FREE_Character2_7_1,0
FREE_Character2,7,Mastery_FREE_Character2_7_2,15
FREE_Character2,7,Mastery_FREE_Character2_7_3,16
FREE_Character2,8,Mastery_FREE_Character2_8_1,0
FREE_Character2,8,Mastery_FREE_Character2_8_2,18
FREE_Character2,8,Mastery_FREE_Character2_8_3,18
FREE_Character2,9,Mastery_FREE_Character2_9_1,19
FREE_Character2,9,Mastery_FREE_Character2_9_2,19
FREE_Character2,9,Mastery_FREE_Character2_9_3,19
FREE_Character2,10,Mastery_FREE_Character2_10_1,20
FREE_Character2,10,Mastery_FREE_Character2_10_2,20
FREE_Character2,10,Mastery_FREE_Character2_10_3,20
FREE_Character3,0,Mastery_FREE_Character3_0_1,0
FREE_Character3,1,Mastery_FREE_Character3_1_1,0
FREE_Character3,1,Mastery_FREE_Character3_1_2,0
FREE_Character3,1,Mastery_FREE_Character3_1_3,0
FREE_Character3,2,Mastery_FREE_Character3_2_1,0
FREE_Character3,2,Mastery_FREE_Character3_2_2,0
FREE_Character3,2,Mastery_FREE_Character3_2_3,3
FREE_Character3,3,Mastery_FREE_Character3_3_1,0
FREE_Character3,3,Mastery_FREE_Character3_3_2,4
FREE_Character3,3,Mastery_FREE_Character3_3_3,7
FREE_Character3,4,Mastery_FREE_Character3_4_1,0
FREE_Character3,4,Mastery_FREE_Character3_4_2,8
FREE_Character3,4,Mastery_FREE_Character3_4_3,10
FREE_Character3,5,Mastery_FREE_Character3_5_1,0
FREE_Character3,5,Mastery_FREE_Character3_5_2,11
FREE_Character3,5,Mastery_FREE_Character3_5_3,12
FREE_Character3,6,Mastery_FREE_Character3_6_1,0
FREE_Character3,6,Mastery_FREE_Character3_6_2,13
FREE_Character3,6,Mastery_FREE_Character3_6_3,14
FREE_Character3,7,Mastery_FREE_Character3_7_1,0
FREE_Character3,7,Mastery_FREE_Character3_7_2,15
FREE_Character3,7,Mastery_FREE_Character3_7_3,16
FREE_Character3,8,Mastery_FREE_Character3_8_1,0
FREE_Character3,8,Mastery_FREE_Character3_8_2,18
FREE_Character3,8,Mastery_FREE_Character3_8_3,18
FREE_Character3,9,Mastery_FREE_Character3_9_1,19
FREE_Character3,9,Mastery_FREE_Character3_9_2,19
FREE_Character3,9,Mastery_FREE_Character3_9_3,19
FREE_Character3,10,Mastery_FREE_Character3_10_1,20
FREE_Character3,10,Mastery_FREE_Character3_10_2,20
FREE_Character3,10,Mastery_FREE_Character3_10_3,20
FREE_Character4,0,Mastery_FREE_Character4_0_1,0
FREE_Character4,1,Mastery_FREE_Character4_1_1,0
FREE_Character4,1,Mastery_FREE_Character4_1_2,0
FREE_Character4,1,Mastery_FREE_Character4_1_3,0
FREE_Character4,2,Mastery_FREE_Character4_2_1,0
FREE_Character4,2,Mastery_FREE_Character4_2_2,0
FREE_Character4,2,Mastery_FREE_Character4_2_3,3
FREE_Character4,3,Mastery_FREE_Character4_3_1,0
FREE_Character4,3,Mastery_FREE_Character4_3_2,4
FREE_Character4,3,Mastery_FREE_Character4_3_3,7
FREE_Character4,4,Mastery_FREE_Character4_4_1,0
FREE_Character4,4,Mastery_FREE_Character4_4_2,8
FREE_Character4,4,Mastery_FREE_Character4_4_3,10
FREE_Character4,5,Mastery_FREE_Character4_5_1,0
