PoolID,Index,Type,RewardID
new_user,1,Free,daily_login_new_user_Free_1
new_user,2,Free,daily_login_new_user_Free_2
new_user,3,Free,daily_login_new_user_Free_3
new_user,4,Free,daily_login_new_user_Free_4
new_user,5,Free,daily_login_new_user_Free_5
new_user,6,Free,daily_login_new_user_Free_6
new_user,7,Free,daily_login_new_user_Free_7
recurring_1,1,Free,daily_login_recurring_1_Free_1
recurring_1,2,Free,daily_login_recurring_1_Free_2
recurring_1,3,Free,daily_login_recurring_1_Free_3
recurring_1,4,Free,daily_login_recurring_1_Free_4
recurring_1,5,Free,daily_login_recurring_1_Free_5
recurring_1,6,Free,daily_login_recurring_1_Free_6
recurring_1,7,Free,daily_login_recurring_1_Free_7
recurring_1,1,Paid,daily_login_recurring_1_Paid_1
recurring_1,2,Paid,daily_login_recurring_1_Paid_2
recurring_1,3,Paid,daily_login_recurring_1_Paid_3
recurring_1,4,Paid,daily_login_recurring_1_Paid_4
recurring_1,5,Paid,daily_login_recurring_1_Paid_5
recurring_1,6,Paid,daily_login_recurring_1_Paid_6
recurring_1,7,Paid,daily_login_recurring_1_Paid_7
recurring_2,1,Free,daily_login_recurring_2_Free_1
recurring_2,2,Free,daily_login_recurring_2_Free_2
recurring_2,3,Free,daily_login_recurring_2_Free_3
recurring_2,4,Free,daily_login_recurring_2_Free_4
recurring_2,5,Free,daily_login_recurring_2_Free_5
recurring_2,6,Free,daily_login_recurring_2_Free_6
recurring_2,7,Free,daily_login_recurring_2_Free_7
recurring_2,1,Paid,daily_login_recurring_2_Paid_1
recurring_2,2,Paid,daily_login_recurring_2_Paid_2
recurring_2,3,Paid,daily_login_recurring_2_Paid_3
recurring_2,4,Paid,daily_login_recurring_2_Paid_4
recurring_2,5,Paid,daily_login_recurring_2_Paid_5
recurring_2,6,Paid,daily_login_recurring_2_Paid_6
recurring_2,7,Paid,daily_login_recurring_2_Paid_7
recurring_3,1,Free,daily_login_recurring_3_Free_1
recurring_3,2,Free,daily_login_recurring_3_Free_2
recurring_3,3,Free,daily_login_recurring_3_Free_3
recurring_3,4,Free,daily_login_recurring_3_Free_4
