SetupID,StatType,StatValue
tutorial_01,event_gamemode_gamemodeID,1
tutorial_01,event_gamemode_playercount,6
tutorial_01,event_gamemode_minRealPlayers,1
tutorial_01,event_gamemode_maxRealPlayers,1
tutorial_01,event_gamemode_scorelimit,15
tutorial_01,event_gamemode_timelimit,180
tutorial_01,event_gamemode_isTeamMode,FALSE
tutorial_01,event_gamemode_teamsCount,0
tutorial_01,event_gamemode_realPlayersTeamsCount,0
tutorial_01,event_gamemode_lobbyWaitTimeout,10
tutorial_01,event_gamemode_respawnDuration,5
tutorial_01,event_gamemode_introDuration,0
tutorial_01,event_gamemode_countdownDuration,0
tutorial_01,event_gamemode_map,map_Tutorial
tutorial_01,event_gamemode_victoryDescID,event_tutorial_victoryDesc
tutorial_02,event_gamemode_gamemodeID,256
tutorial_02,event_gamemode_playercount,6
tutorial_02,event_gamemode_minRealPlayers,1
tutorial_02,event_gamemode_maxRealPlayers,1
tutorial_02,event_gamemode_scorelimit,5
tutorial_02,event_gamemode_timelimit,90
tutorial_02,event_gamemode_isTeamMode,TRUE
tutorial_02,event_gamemode_teamsCount,2
tutorial_02,event_gamemode_realPlayersTeamsCount,1
tutorial_02,event_gamemode_useMmrFiltering,FALSE
tutorial_02,event_gamemode_useEvenPlayerCount,FALSE
tutorial_02,event_gamemode_lobbyWaitTimeout,10
tutorial_02,event_gamemode_respawnDuration,5
tutorial_02,event_gamemode_introDuration,9
tutorial_02,event_gamemode_countdownDuration,3
tutorial_02,event_gamemode_map,map_DustValley
tutorial_02,event_gamemode_rewardItemID_1,BattlePassToken
tutorial_02,event_gamemode_rewardItemID_2,WeaponXP
tutorial_02,event_gamemode_rewardItemID_3,CantinaBox
tdm_01_1,event_gamemode_ui_isCardBig,TRUE
tdm_01_1,event_gamemode_gamemodeID,2
tdm_01_1,event_gamemode_playercount,6
tdm_01_1,event_gamemode_minRealPlayers,1
tdm_01_1,event_gamemode_maxRealPlayers,6
tdm_01_1,event_gamemode_scorelimit,15
tdm_01_1,event_gamemode_timelimit,180
tdm_01_1,event_gamemode_isTeamMode,TRUE
tdm_01_1,event_gamemode_teamsCount,2
tdm_01_1,event_gamemode_realPlayersTeamsCount,2
tdm_01_1,event_gamemode_useMmrFiltering,TRUE
tdm_01_1,event_gamemode_useEvenPlayerCount,FALSE
tdm_01_1,event_gamemode_lobbyWaitTimeout,30
tdm_01_1,event_gamemode_respawnDuration,5
tdm_01_1,event_gamemode_introDuration,9
tdm_01_1,event_gamemode_countdownDuration,3
tdm_01_1,event_gamemode_map,map_TheQuarry
tdm_01_1,event_gamemode_newEventRewardID,newGameModeEventReward_1
