LocID,OnlyAbovePlayCount,OnlyBelowPlayCount,OnlyForCharacterID,OnlyForGameModeID
hint_general_01,0,25,,
hint_general_02,0,50,,
hint_general_03,0,150,,
hint_general_04,0,150,,
hint_general_05,20,99999,,
hint_general_06,0,100,,
hint_general_07,0,99999,,
hint_general_08,0,99999,,
hint_general_09,0,99999,,
hint_general_10,0,99999,,
hint_general_11,0,99999,,
hint_general_12,0,99999,,
hint_general_13,0,99999,,
hint_general_14,0,99999,,
hint_general_15,0,99999,,
hint_general_16,0,80,,
hint_general_17,0,99999,,
hint_general_18,0,250,,
hint_general_19,0,250,,
hint_general_20,0,250,,
hint_general_21,15,99999,,
hint_general_22,0,200,,
hint_general_23,15,250,,
hint_general_24,50,99999,,
hint_general_25,20,99999,,
hint_general_26,15,300,,
hint_general_27,0,99999,,
hint_general_28,0,80,,
hint_general_29,0,200,,
hint_general_30,0,99999,,
hint_general_31,0,99999,,
hint_general_32,0,99999,,
hint_general_33,0,99999,,
hint_general_34,0,75,,
hint_general_35,0,150,,
hint_general_36,0,150,,
hint_general_37,0,150,,
hint_general_38,0,150,,
hint_general_39,0,99999,,
hint_NFT_01,30,99999,,
hint_NFT_02,30,99999,,
hint_NFT_03,30,99999,,
hint_NFT_04,30,99999,,
hint_NFT_05,30,99999,,
hint_NFT_06,30,99999,,
hint_NFT_07,30,99999,,
hint_NFT_08,30,99999,,
hint_NFT_09,30,99999,,
hint_NFT_10,30,99999,,
hint_Ape_01,0,99999,Ape,
hint_Ape_02,0,99999,Ape,
hint_Ape_03,0,99999,Ape,
hint_Ape_04,0,99999,Ape,
hint_Bear_01,0,99999,Bear,
hint_Bear_02,0,99999,Bear,
hint_Bear_03,0,99999,Bear,
hint_Bear_04,0,99999,Bear,
hint_Cat_01,0,99999,Cat,
hint_Cat_02,0,99999,Cat,
hint_Cat_03,0,99999,Cat,
hint_Cat_04,0,99999,Cat,
hint_Croco_01,0,99999,Croco,
hint_Croco_02,0,99999,Croco,
hint_Croco_03,0,99999,Croco,
hint_Croco_04,0,99999,Croco,
hint_Rabbit_01,0,99999,Rabbit,
hint_Rabbit_02,0,99999,Rabbit,
hint_Rabbit_03,0,99999,Rabbit,
hint_Rabbit_04,0,99999,Rabbit,
hint_Tiger_01,0,99999,Tiger,
hint_Tiger_02,0,99999,Tiger,
hint_Tiger_03,0,99999,Tiger,
hint_Tiger_04,0,99999,Tiger,
hint_Rumble_01,0,99999,,128.0
hint_Rumble_02,0,99999,,128.0
hint_Rumble_03,0,99999,,128.0
hint_Rumble_04,0,99999,,128.0
hint_Rumble_05,0,99999,,128.0
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
,0,99999,,
