Index,ItemID
1,CantinaBoxSilver
2,CantinaBoxSilver
3,CantinaBoxSilver
4,CantinaBoxGold
5,CantinaBoxSilver
6,CantinaBoxSilver
7,CantinaBoxGold
8,CantinaBoxSilver
9,CantinaBoxSilver
10,CantinaBoxSilver
11,CantinaBoxSilver
12,CantinaBoxPlatinum
13,CantinaBoxSilver
14,CantinaBoxSilver
15,CantinaBoxGold
16,CantinaBoxSilver
17,CantinaBoxSilver
18,CantinaBoxSilver
19,CantinaBoxGold
20,CantinaBoxSilver
21,CantinaBoxSilver
22,CantinaBoxSilver
23,CantinaBoxSilver
24,CantinaBoxGold
25,CantinaBoxSilver
26,CantinaBoxGold
27,CantinaBoxSilver
28,CantinaBoxSilver
29,CantinaBoxSilver
30,CantinaBoxSilver
31,CantinaBoxGold
32,CantinaBoxSilver
33,CantinaBoxSilver
34,CantinaBoxGold
35,CantinaBoxSilver
36,CantinaBoxSilver
37,CantinaBoxSilver
38,CantinaBoxSilver
39,CantinaBoxGold
40,CantinaBoxSilver
41,CantinaBoxSilver
42,CantinaBoxGold
43,CantinaBoxSilver
44,CantinaBoxSilver
45,CantinaBoxSilver
46,CantinaBoxSilver
47,CantinaBoxPlatinum
48,CantinaBoxSilver
49,CantinaBoxSilver
50,CantinaBoxGold
51,CantinaBoxSilver
52,CantinaBoxSilver
53,CantinaBoxSilver
54,CantinaBoxSilver
55,CantinaBoxGold
56,CantinaBoxSilver
57,CantinaBoxSilver
58,CantinaBoxGold
59,CantinaBoxSilver
60,CantinaBoxSilver
61,CantinaBoxGold
62,CantinaBoxSilver
63,CantinaBoxSilver
64,CantinaBoxSilver
65,CantinaBoxSilver
66,CantinaBoxGold
67,CantinaBoxSilver
68,CantinaBoxSilver
69,CantinaBoxGold
70,CantinaBoxSilver
71,CantinaBoxSilver
72,CantinaBoxSilver
73,CantinaBoxGold
74,CantinaBoxSilver
75,CantinaBoxSilver
76,CantinaBoxSilver
77,CantinaBoxSilver
78,CantinaBoxGold
79,CantinaBoxSilver
80,CantinaBoxSilver
81,CantinaBoxSilver
82,CantinaBoxPlatinum
83,CantinaBoxSilver
84,CantinaBoxSilver
85,CantinaBoxGold
86,CantinaBoxSilver
87,CantinaBoxSilver
88,CantinaBoxSilver
89,CantinaBoxGold
90,CantinaBoxSilver
91,CantinaBoxSilver
92,CantinaBoxSilver
93,CantinaBoxSilver
94,CantinaBoxGold
95,CantinaBoxSilver
96,CantinaBoxSilver
97,CantinaBoxGold
98,CantinaBoxSilver
99,CantinaBoxSilver
100,CantinaBoxSilver
101,CantinaBoxSilver
102,CantinaBoxGold
103,CantinaBoxSilver
104,CantinaBoxSilver
105,CantinaBoxGold
106,CantinaBoxSilver
107,CantinaBoxSilver
108,CantinaBoxSilver
109,CantinaBoxSilver
110,CantinaBoxGold
111,CantinaBoxSilver
112,CantinaBoxSilver
113,CantinaBoxGold
114,CantinaBoxSilver
115,CantinaBoxSilver
116,CantinaBoxSilver
117,CantinaBoxSilver
118,CantinaBoxGold
119,CantinaBoxSilver
120,CantinaBoxSilver
121,CantinaBoxSilver
122,CantinaBoxGold
123,CantinaBoxSilver
124,CantinaBoxSilver
125,CantinaBoxSilver
126,CantinaBoxSilver
127,CantinaBoxGold
128,CantinaBoxSilver
129,CantinaBoxSilver
130,CantinaBoxGold
131,CantinaBoxSilver
132,CantinaBoxSilver
133,CantinaBoxSilver
134,CantinaBoxSilver
135,CantinaBoxGold
136,CantinaBoxSilver
137,CantinaBoxSilver
138,CantinaBoxGold
139,CantinaBoxSilver
140,CantinaBoxSilver
141,CantinaBoxSilver
142,CantinaBoxSilver
143,CantinaBoxGold
144,CantinaBoxSilver
145,CantinaBoxSilver
146,CantinaBoxPlatinum
147,CantinaBoxSilver
148,CantinaBoxGold
149,CantinaBoxSilver
150,CantinaBoxSilver
151,CantinaBoxSilver
152,CantinaBoxSilver
153,CantinaBoxGold
154,CantinaBoxSilver
155,CantinaBoxSilver
156,CantinaBoxSilver
157,CantinaBoxGold
158,CantinaBoxSilver
159,CantinaBoxSilver
160,CantinaBoxGold
161,CantinaBoxSilver
162,CantinaBoxSilver
163,CantinaBoxSilver
164,CantinaBoxSilver
165,CantinaBoxGold
166,CantinaBoxSilver
167,CantinaBoxSilver
168,CantinaBoxGold
169,CantinaBoxSilver
170,CantinaBoxSilver
171,CantinaBoxSilver
172,CantinaBoxSilver
173,CantinaBoxGold
174,CantinaBoxSilver
175,CantinaBoxSilver
176,CantinaBoxGold
177,CantinaBoxSilver
178,CantinaBoxSilver
179,CantinaBoxSilver
180,CantinaBoxSilver
181,CantinaBoxGold
182,CantinaBoxSilver
183,CantinaBoxSilver
184,CantinaBoxGold
185,CantinaBoxSilver
186,CantinaBoxSilver
187,CantinaBoxGold
188,CantinaBoxSilver
189,CantinaBoxSilver
190,CantinaBoxSilver
191,CantinaBoxGold
192,CantinaBoxSilver
193,CantinaBoxSilver
194,CantinaBoxSilver
195,CantinaBoxSilver
196,CantinaBoxGold
197,CantinaBoxSilver
198,CantinaBoxSilver
199,CantinaBoxSilver
200,CantinaBoxGold
