ID,RNGMethod,RewardType,RewardID,AmountMin,AmountMax,Chance
account_defaults,roll_each,weapon,WeaponType_Shotgun_Default_Star1,1,1,100.0
account_defaults,roll_each,item,SpawnFX01,1,1,100.0
account_defaults,roll_each,item,DeathFX01,1,1,100.0
account_defaults,roll_each,item,Emote01,1,1,100.0
account_defaults,roll_each,item,Emote02,1,1,100.0
account_defaults,roll_each,item,Emote07,1,1,100.0
account_defaults4,roll_each,item,PlayerProfile_Avatar_Default,1,1,100.0
account_defaults4,roll_each,item,PlayerProfile_Frame_Default,1,1,100.0
account_defaults4,roll_each,item,PlayerProfile_NameColor_Default,1,1,100.0
account_defaults4,roll_each,item,EmoteNiceJob,1,1,100.0
account_defaults4,roll_each,item,EmoteAttack,1,1,100.0
account_defaults4,roll_each,item,EmoteTeamWork,1,1,100.0
cantina_box_level1,roll_each,item,Shards,50,75,100.0
cantina_box_level1,roll_each,item,RaceToken_Reward,3,5,100.0
cantina_box_level1,roll_each,item,Credit,3,5,10.0
cantina_box_level1,roll_each,pool,battlepasstokendoublers,1,1,7.0
cantina_box_level2,roll_each,item,Shards,100,180,100.0
cantina_box_level2,roll_each,item,RaceToken_Reward,3,7,100.0
cantina_box_level2,roll_each,item,Credit,3,5,10.0
cantina_box_level2,roll_each,pool,battlepasstokendoublers,1,1,7.0
cantina_box_level3,roll_each,item,Shards,200,350,100.0
cantina_box_level3,roll_each,item,RaceToken_Reward,4,8,100.0
cantina_box_level3,roll_each,item,Credit,4,8,10.0
cantina_box_level3,roll_each,pool,battlepasstokendoublers,1,1,7.0
cantina_box_level4,roll_each,item,Shards,300,450,100.0
cantina_box_level4,roll_each,item,RaceToken_Reward,5,10,100.0
cantina_box_level4,roll_each,item,Credit,5,10,10.0
cantina_box_level4,roll_each,pool,battlepasstokendoublers,1,1,7.0
cantina_box_level5,roll_each,item,Shards,400,550,100.0
cantina_box_level5,roll_each,item,RaceToken_Reward,7,12,100.0
cantina_box_level5,roll_each,item,Credit,5,13,10.0
cantina_box_level5,roll_each,pool,battlepasstokendoublers,1,1,5.0
cantina_box_level6,roll_each,item,Shards,500,650,100.0
cantina_box_level6,roll_each,item,RaceToken_Reward,10,15,100.0
cantina_box_level6,roll_each,item,Credit,5,15,10.0
cantina_box_level6,roll_each,pool,battlepasstokendoublers,1,1,5.0
cantina_box_level7,roll_each,item,Shards,600,800,100.0
cantina_box_level7,roll_each,item,RaceToken_Reward,13,17,100.0
cantina_box_level7,roll_each,item,Credit,5,15,10.0
cantina_box_level7,roll_each,pool,battlepasstokendoublers,1,1,5.0
cantina_box_level8,roll_each,item,Shards,5000,7000,100.0
cantina_box_level8,roll_each,item,RaceToken_Reward,15,20,100.0
cantina_box_level8,roll_each,item,Credit,9,15,10.0
cantina_box_level8,roll_each,pool,battlepasstokendoublers,1,1,5.0
cantina_box_level9,roll_each,item,Shards,7000,10000,100.0
cantina_box_level9,roll_each,item,RaceToken_Reward,17,23,100.0
cantina_box_level9,roll_each,item,Credit,9,15,10.0
cantina_box_level9,roll_each,pool,battlepasstokendoublers,1,1,5.0
cantina_box_level10,roll_each,item,Shards,10000,13000,100.0
cantina_box_level10,roll_each,item,RaceToken_Reward,20,25,100.0
cantina_box_level10,roll_each,item,Credit,4,6,10.0
cantina_box_level10,roll_each,pool,battlepasstokendoublers,1,1,5.0
cantina_box_gold1,roll_each,pool,cantina_box_level1,3,3,100.0
cantina_box_gold2,roll_each,pool,cantina_box_level2,3,3,100.0
cantina_box_gold3,roll_each,pool,cantina_box_level3,3,3,100.0
cantina_box_gold4,roll_each,pool,cantina_box_level4,3,3,100.0
cantina_box_gold5,roll_each,pool,cantina_box_level5,3,3,100.0
cantina_box_gold6,roll_each,pool,cantina_box_level6,3,3,100.0
cantina_box_gold7,roll_each,pool,cantina_box_level7,3,3,100.0
cantina_box_gold8,roll_each,pool,cantina_box_level8,3,3,100.0
cantina_box_gold9,roll_each,pool,cantina_box_level9,3,3,100.0
cantina_box_gold10,roll_each,pool,cantina_box_level10,3,3,100.0
cantina_box_platinum1,roll_each,pool,cantina_box_level1,6,6,100.0
cantina_box_platinum2,roll_each,pool,cantina_box_level2,6,6,100.0
cantina_box_platinum3,roll_each,pool,cantina_box_level3,6,6,100.0
cantina_box_platinum4,roll_each,pool,cantina_box_level4,6,6,100.0
cantina_box_platinum5,roll_each,pool,cantina_box_level5,6,6,100.0
cantina_box_platinum6,roll_each,pool,cantina_box_level6,6,6,100.0
cantina_box_platinum7,roll_each,pool,cantina_box_level7,6,6,100.0
cantina_box_platinum8,roll_each,pool,cantina_box_level8,6,6,100.0
cantina_box_platinum9,roll_each,pool,cantina_box_level9,6,6,100.0
cantina_box_platinum10,roll_each,pool,cantina_box_level10,6,6,100.0
cantina_box_champion1,roll_each,item,Shards,30000,30000,100.0
cantina_box_champion1,roll_each,item,RaceToken_Reward,200,200,100.0
cantina_box_champion1,roll_each,item,BattlePassTokenDoubler,150,150,50.0
cantina_box_champion2,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion3,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion4,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion5,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion6,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion7,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion8,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion9,roll_each,pool,cantina_box_champion1,1,1,100.0
cantina_box_champion10,roll_each,pool,cantina_box_champion1,1,1,100.0
battlepasstokendoublers,choose_one,item,BattlePassTokenDoubler,20,20,25.0
battlepasstokendoublers,choose_one,item,BattlePassTokenDoubler,30,30,25.0
battlepasstokendoublers,choose_one,item,BattlePassTokenDoubler,50,50,25.0
battlepasstokendoublers,choose_one,item,BattlePassTokenDoubler,75,75,15.0
battlepasstokendoublers,choose_one,item,BattlePassTokenDoubler,100,100,10.0
cantina_box_large,roll_each,pool,cantina_box,3,3,100.0
cantina_box_mega,roll_each,pool,cantina_box,10,10,100.0
premium_box,roll_each,item,Shards,3000,5000,100.0
premium_box,roll_each,pool,premium_box_tradable_item_pool,1,1,100.0
premium_box_tradable_item_pool,choose_one,item,RerollItem,1,1,40.0
premium_box_tradable_item_pool,choose_one,item,XPCard3,1,1,30.0
premium_box_tradable_item_pool,choose_one,item,EnergyPack3,1,1,10.0
premium_box_tradable_item_pool,choose_one,pool,random_epic_emote,1,1,10.0
premium_box_tradable_item_pool,choose_one,pool,random_epic_spray,1,1,10.0
random_normal_emote,choose_one,item,Emote01,1,1,100.0
random_normal_emote,choose_one,item,Emote02,1,1,100.0
random_normal_emote,choose_one,item,Emote03,1,1,100.0
random_normal_emote,choose_one,item,Emote04,1,1,100.0
random_normal_emote,choose_one,item,Emote05,1,1,100.0
random_normal_emote,choose_one,item,Emote06,1,1,100.0
random_normal_emote,choose_one,item,Emote07,1,1,100.0
random_normal_emote,choose_one,item,Emote08,1,1,100.0
random_normal_emote,choose_one,item,Emote09,1,1,100.0
random_normal_emote,choose_one,item,Emote10,1,1,100.0
random_normal_emote,choose_one,item,Emote11,1,1,100.0
random_normal_emote,choose_one,item,Emote12,1,1,100.0
random_normal_emote,choose_one,item,Emote13,1,1,100.0
random_normal_emote,choose_one,item,Emote14,1,1,100.0
random_normal_emote,choose_one,item,Emote15,1,1,100.0
random_epic_emote,choose_one,item,EmoteEpic01,1,1,100.0
random_epic_emote,choose_one,item,EmoteEpic02,1,1,100.0
random_epic_emote,choose_one,item,EmoteEpic03,1,1,100.0
random_epic_emote,choose_one,item,EmoteEpic04,1,1,100.0
random_epic_emote,choose_one,item,EmoteEpic05,1,1,100.0
random_epic_emote,choose_one,item,EmoteEpic06,1,1,100.0
random_epic_emote,choose_one,item,EmoteEpic07,1,1,100.0
random_common_spray,choose_one,item,SprayCommon01,1,1,100.0
random_common_spray,choose_one,item,SprayCommon02,1,1,100.0
random_common_spray,choose_one,item,SprayCommon03,1,1,100.0
random_common_spray,choose_one,item,SprayCommon04,1,1,100.0
random_common_spray,choose_one,item,SprayCommon05,1,1,100.0
random_common_spray,choose_one,item,SprayCommon06,1,1,100.0
random_common_spray,choose_one,item,SprayCommon07,1,1,100.0
random_common_spray,choose_one,item,SprayCommon08,1,1,100.0
random_common_spray,choose_one,item,SprayCommon09,1,1,100.0
random_common_spray,choose_one,item,SprayCommon10,1,1,100.0
random_common_spray,choose_one,item,SprayCommon11,1,1,100.0
random_common_spray,choose_one,item,SprayCommon12,1,1,100.0
random_common_spray,choose_one,item,SprayCommon13,1,1,100.0
random_common_spray,choose_one,item,SprayCommon14,1,1,100.0
random_common_spray,choose_one,item,SprayCommon15,1,1,100.0
random_rare_spray,choose_one,item,SprayRare01,1,1,100.0
random_rare_spray,choose_one,item,SprayRare02,1,1,100.0
random_rare_spray,choose_one,item,SprayRare03,1,1,100.0
random_rare_spray,choose_one,item,SprayRare04,1,1,100.0
random_rare_spray,choose_one,item,SprayRare05,1,1,100.0
random_rare_spray,choose_one,item,SprayRare06,1,1,100.0
random_rare_spray,choose_one,item,SprayRare07,1,1,100.0
random_rare_spray,choose_one,item,SprayRare08,1,1,100.0
random_rare_spray,choose_one,item,SprayRare09,1,1,100.0
random_rare_spray,choose_one,item,SprayRare10,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic01,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic02,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic03,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic04,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic05,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic06,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic07,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic08,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic09,1,1,100.0
random_epic_spray,choose_one,item,SprayEpic10,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX01,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX02,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX03,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX04,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX05,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX06,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX07,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX08,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX09,1,1,100.0
random_spawnfx,choose_one,item,SpawnFX10,1,1,100.0
random_deathfx,choose_one,item,DeathFX01,1,1,100.0
random_deathfx,choose_one,item,DeathFX02,1,1,100.0
random_deathfx,choose_one,item,DeathFX03,1,1,100.0
random_deathfx,choose_one,item,DeathFX04,1,1,100.0
random_deathfx,choose_one,item,DeathFX05,1,1,100.0
random_deathfx,choose_one,item,DeathFX06,1,1,100.0
random_deathfx,choose_one,item,DeathFX07,1,1,100.0
random_racetoken_2_5_pieces,choose_one,item,RaceToken_Tiger,2,5,100.0
random_racetoken_2_5_pieces,choose_one,item,RaceToken_Bear,2,5,100.0
random_racetoken_2_5_pieces,choose_one,item,RaceToken_Cat,2,5,100.0
random_racetoken_2_5_pieces,choose_one,item,RaceToken_Croco,2,5,100.0
random_racetoken_2_5_pieces,choose_one,item,RaceToken_Rabbit,2,5,100.0
random_racetoken_2_5_pieces,choose_one,item,RaceToken_Ape,2,5,100.0
random_racetoken_2_5_pieces_with_universal,choose_one,pool,random_racetoken_2_5_pieces,1,1,80.0
random_racetoken_2_5_pieces_with_universal,choose_one,item,RaceToken_Universal,2,5,20.0
cosmetic_box,choose_one,pool,random_normal_emote,1,1,100.0
cosmetic_box,choose_one,pool,random_epic_emote,1,1,100.0
cosmetic_box,choose_one,pool,random_deathfx,1,1,100.0
booster_box,choose_one,item,Booster_RapidFire,1,1,100.0
booster_box,choose_one,item,Booster_ExtraShield,1,1,100.0
booster_box,choose_one,item,Booster_ExtraXP,1,1,100.0
booster_box,choose_one,item,Booster_ExtraHP,1,1,100.0
booster_box,choose_one,item,Booster_FastReload,1,1,100.0
booster_box,choose_one,item,Booster_EMPDamage,1,1,100.0
booster_box,choose_one,item,Booster_ExtraStamina,1,1,100.0
booster_box,choose_one,item,Booster_HPRegeneration,1,1,100.0
booster_box,choose_one,item,Booster_BetterAccuracy,1,1,100.0
bundle_dailydeal_1,roll_each,item,Shards,3500,3500,100.0
bundle_dailydeal_1,roll_each,item,UpgradeItem,5,5,100.0
bundle_dailydeal_1,roll_each,item,XPCard1,2,2,100.0
bundle_dailydeal_2,roll_each,item,Shards,7500,7500,100.0
bundle_dailydeal_2,roll_each,item,UpgradeItem,25,25,100.0
bundle_dailydeal_2,roll_each,item,XPCard1,10,10,100.0
bundle_dailydeal_3,roll_each,item,Shards,15000,15000,100.0
bundle_dailydeal_3,roll_each,item,UpgradeItem,50,50,100.0
bundle_dailydeal_3,roll_each,item,XPCard1,20,20,100.0
shop_daily_box_1,roll_each,item,CantinaBoxGold,1,1,100.0
shop_daily_box_2,roll_each,item,CantinaBoxPlatinum,1,1,100.0
shop_daily_box_3,roll_each,item,CantinaBoxChampion,1,1,100.0
shop_daily_token_1,roll_each,item,RaceToken_Reward,10,10,100.0
shop_daily_token_2,roll_each,item,RaceToken_Reward,30,30,100.0
shop_daily_token_3,roll_each,item,RaceToken_Reward,150,150,100.0
shop_shards_1,roll_each,item,Shards,250,250,100.0
shop_shards_2,roll_each,item,Shards,25000,25000,100.0
shop_shards_3,roll_each,item,Shards,100000,100000,100.0
shop_shards_4,roll_each,item,Shards,500000,500000,100.0
shop_credits_1,roll_each,item,Credit,5,5,100.0
shop_credits_2,roll_each,item,Credit,1500,1500,100.0
shop_credits_3,roll_each,item,Credit,3500,3500,100.0
shop_credits_4,roll_each,item,Credit,7500,7500,100.0
shop_credits_5,roll_each,item,Credit,20000,20000,100.0
shop_credits_6,roll_each,item,Credit,45000,45000,100.0
shop_offer_VIP_subscription,roll_each,vipSubscription,,1,1,100.0
shop_offer_starterPack,roll_each,item,Shards,20000,20000,100.0
shop_offer_starterPack,roll_each,item,WeaponBoxEpicKey,5,5,100.0
shop_offer_starterPack,roll_each,item,Credit,500,500,100.0
shop_offer_starterPack,roll_each,item,CantinaBoxPlatinum,1,1,100.0
shop_offer_starterPack_NFT,roll_each,item,Shards,100000,100000,100.0
shop_offer_starterPack_NFT,roll_each,item,WeaponBoxEpicKey,10,10,100.0
shop_offer_starterPack_NFT,roll_each,item,Credit,2000,2000,100.0
shop_offer_starterPack_NFT,roll_each,item,RaceToken_Universal,250,250,100.0
shop_offer_generalProgression,roll_each,item,Shards,50000,50000,100.0
shop_offer_generalProgression,roll_each,item,WeaponBoxEpicKey,10,10,100.0
shop_offer_generalProgression,roll_each,item,CantinaBoxChampion,1,1,100.0
shop_offer_generalWeapons,roll_each,item,WeaponBoxKey,20,20,100.0
shop_offer_generalWeapons,roll_each,item,WeaponBoxEpicKey,3,3,100.0
shop_offer_generalProgression_NFT,roll_each,item,Shards,200000,200000,100.0
shop_offer_generalProgression_NFT,roll_each,item,Credit,3000,3000,100.0
shop_offer_generalProgression_NFT,roll_each,item,RaceToken_Universal,500,500,100.0
shop_offer_generalProgression_NFT_OneTimeOnly,roll_each,item,RaceToken_Universal,3500,3500,100.0
