Level,Tokens,Shards,Crown,nft
1,0,0,0,False
2,2,50,0,False
3,10,150,0,False
4,20,800,0,False
5,30,2900,0,False
6,50,8300,0,False
7,80,27000,0,False
8,130,30000,0,False
9,210,33000,0,False
10,340,35000,0,False
11,550,39000,0,False
12,680,42000,0,False
13,890,46000,0,False
14,1230,51000,0,False
15,1780,56000,0,False
16,2460,61000,0,False
17,3350,65000,0,False
18,4580,70000,0,False
19,6360,75000,0,False
20,8820,79000,0,False
1,0,0,0,True
2,2,11000,200,True
3,10,15000,800,True
4,20,16000,2900,True
5,30,19000,5700,True
6,50,22000,17500,True
7,80,25000,35000,True
8,130,30000,64000,True
9,210,35000,97000,True
10,340,41000,138000,True
11,550,48000,172000,True
12,680,55000,210000,True
13,890,62000,240000,True
14,1230,69000,265000,True
15,1780,75000,290000,True
16,2460,80000,320000,True
17,3350,85000,350000,True
18,4580,88000,380000,True
19,6360,91000,420000,True
20,8820,94000,460000,True
