weapon_class,weapon_damage,weapon_cooldownAfterLastBullet,weapon_reloadTime,weapon_ammo,weapon_projectile_speed,weapon_projectile_range,weapon_projectile_spawn_delay_after_shot,ID,CollectionID,StarLevel,IsNFT,level
Spread,2200.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Default_Star1,Default,1,False,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Default_Star2,Default,2,False,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Default_Star3,Default,3,False,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Default_Star4,Default,4,False,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Default_Star5,Default,5,False,1
Spread,2300.0,0.65,2.1,3,14.0,9.75,0.1,WeaponType_Shotgun_Default_Star6,Default,6,False,1
Spread,2200.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Arsenal-X_Star1,Arsenal-X,1,True,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Arsenal-X_Star2,Arsenal-X,2,True,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Arsenal-X_Star3,Arsenal-X,3,True,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Arsenal-X_Star4,Arsenal-X,4,True,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Arsenal-X_Star5,Arsenal-X,5,True,1
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,WeaponType_Shotgun_Arsenal-X_Star6,Arsenal-X,6,True,1
Automatic,1700.0,0.2,2.75,3,14.0,10.0,0.0,WeaponType_AssaultGun_Default_Star1,Default,1,False,1
Automatic,1780.0,0.2,2.75,3,14.0,10.0,0.0,WeaponType_AssaultGun_Default_Star2,Default,2,False,1
Automatic,1780.0,0.2,2.75,3,14.0,10.0,0.0,WeaponType_AssaultGun_Default_Star3,Default,3,False,1
Automatic,1780.0,0.2,2.75,3,14.0,10.0,0.0,WeaponType_AssaultGun_Default_Star4,Default,4,False,1
Automatic,1780.0,0.2,2.75,3,14.0,10.0,0.0,WeaponType_AssaultGun_Default_Star5,Default,5,False,1
Automatic,1780.0,0.2,2.75,3,14.0,11.0,0.0,WeaponType_AssaultGun_Default_Star6,Default,6,False,1
Automatic,1700.0,0.2,2.75,3,14.0,10.0,0.0,WeaponType_AssaultGun_Arsenal-X_Star1,Arsenal-X,1,True,1
Automatic,1700.0,0.2,2.75,3,14.0,10.5,0.0,WeaponType_AssaultGun_Arsenal-X_Star2,Arsenal-X,2,True,1
Automatic,1700.0,0.2,2.75,3,14.0,10.5,0.0,WeaponType_AssaultGun_Arsenal-X_Star3,Arsenal-X,3,True,1
Automatic,1700.0,0.2,2.75,3,14.0,10.5,0.0,WeaponType_AssaultGun_Arsenal-X_Star4,Arsenal-X,4,True,1
Automatic,2000.0,0.2,2.75,3,14.0,10.5,0.0,WeaponType_AssaultGun_Arsenal-X_Star5,Arsenal-X,5,True,1
Automatic,2000.0,0.2,2.75,3,14.0,10.5,0.0,WeaponType_AssaultGun_Arsenal-X_Star6,Arsenal-X,6,True,1
Explosive,1200.0,1.0,3.0,3,3.35,8.0,0.13,WeaponType_MortarGun_Default_Star1,Default,1,False,1
Explosive,1260.0,1.0,3.0,3,3.35,8.0,0.13,WeaponType_MortarGun_Default_Star2,Default,2,False,1
Explosive,1260.0,1.0,3.0,3,3.35,8.0,0.13,WeaponType_MortarGun_Default_Star3,Default,3,False,1
Explosive,1260.0,1.0,3.0,3,3.35,8.0,0.13,WeaponType_MortarGun_Default_Star4,Default,4,False,1
Explosive,1260.0,1.0,3.0,3,3.35,8.5,0.13,WeaponType_MortarGun_Default_Star5,Default,5,False,1
Explosive,1260.0,1.0,3.0,3,3.35,8.5,0.13,WeaponType_MortarGun_Default_Star6,Default,6,False,1
Explosive,1200.0,1.0,3.0,3,3.35,8.0,0.13,WeaponType_MortarGun_Arsenal-X_Star1,Arsenal-X,1,True,1
