weapon_class,weapon_damage,weapon_cooldownAfterLastBullet,weapon_reloadTime,weapon_ammo,weapon_projectile_speed,weapon_projectile_range,weapon_projectile_spawn_delay_after_shot,CollectionID,StarLevel,IsNFT,level,name
Spread,2200.0,0.65,2.1,3,14.0,9.0,0.1,Default,1,False,1,Boomstick
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,Default,2,False,1,Boomstick
Spread,2300.0,0.65,2.1,3,15.400000000000002,9.0,0.1,Default,3,False,1,Boomstick
Spread,2300.0,0.65,2.1,3,15.400000000000002,9.0,0.1,Default,4,False,1,Boomstick
Spread,2300.0,0.65,1.89,3,15.400000000000002,9.0,0.1,Default,5,False,1,Boomstick
Spread,2300.0,0.65,1.89,3,15.400000000000002,9.75,0.1,Default,6,False,1,Boomstick
Spread,2200.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,1,True,1,Boomstick-X
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,2,True,1,Boomstick-X
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,3,True,1,Boomstick-X
Spread,2300.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,4,True,1,Boomstick-X
Spread,2300.0,0.65,1.7429999999999999,3,14.0,9.0,0.1,Arsenal-X,5,True,1,Boomstick-X
Spread,2461.0,0.65,1.7429999999999999,3,14.0,9.0,0.1,Arsenal-X,6,True,1,Boomstick-X
Automatic,1700.0,0.2,2.75,3,14.0,10.0,0.0,Default,1,False,1,Blaster
Automatic,1780.0,0.2,2.75,3,14.0,10.0,0.0,Default,2,False,1,Blaster
Automatic,1780.0,0.2,2.75,3,15.400000000000002,10.0,0.0,Default,3,False,1,Blaster
Automatic,1780.0,0.2,2.75,3,15.400000000000002,10.0,0.0,Default,4,False,1,Blaster
Automatic,1780.0,0.2,2.4749999999999996,3,15.400000000000002,10.0,0.0,Default,5,False,1,Blaster
Automatic,1780.0,0.2,2.4749999999999996,3,15.400000000000002,11.0,0.0,Default,6,False,1,Blaster
Automatic,1700.0,0.2,2.75,3,14.0,10.0,0.0,Arsenal-X,1,True,1,Blaster-X
Automatic,1700.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,2,True,1,Blaster-X
Automatic,1700.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,3,True,1,Blaster-X
Automatic,1700.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,4,True,1,Blaster-X
Automatic,2000.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,5,True,1,Blaster-X
Automatic,2080.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,6,True,1,Blaster-X
Explosive,1200.0,1.0,3.0,3,3.35,8.0,0.13,Default,1,False,1,Mortar Gun
Explosive,1260.0,1.0,3.0,3,3.35,8.0,0.13,Default,2,False,1,Mortar Gun
Explosive,1260.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Default,3,False,1,Mortar Gun
Explosive,1260.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Default,4,False,1,Mortar Gun
Explosive,1260.0,1.0,3.0,3,3.6850000000000005,8.5,0.13,Default,5,False,1,Mortar Gun
Explosive,1323.0,1.0,3.0,3,3.6850000000000005,8.5,0.13,Default,6,False,1,Mortar Gun
Explosive,1200.0,1.0,3.0,3,3.35,8.0,0.13,Arsenal-X,1,True,1,Mortar Gun X
Explosive,1200.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,2,True,1,Mortar Gun X
Explosive,1200.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,3,True,1,Mortar Gun X
Explosive,1200.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,4,True,1,Mortar Gun X
Explosive,1200.0,1.0,3.0,3,3.6850000000000005,9.0,0.13,Arsenal-X,5,True,1,Mortar Gun X
Explosive,1236.0,1.0,3.0,3,3.6850000000000005,9.0,0.13,Arsenal-X,6,True,1,Mortar Gun X
Elemental,1000.0,0.5,2.7,2,10.0,9.0,0.2,Default,1,False,1,Tesla Gun
Elemental,1000.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,2,False,1,Tesla Gun
Elemental,1130.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,3,False,1,Tesla Gun
Elemental,1130.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,4,False,1,Tesla Gun
Elemental,1130.0,0.5,2.0655,2,10.0,9.0,0.2,Default,5,False,1,Tesla Gun
Elemental,1130.0,0.5,2.0655,2,10.0,9.5,0.2,Default,6,False,1,Tesla Gun
Elemental,1000.0,0.5,2.7,2,10.0,9.0,0.2,Arsenal-X,1,True,1,Tesla Gun X
Elemental,1000.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,2,True,1,Tesla Gun X
Elemental,1000.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,3,True,1,Tesla Gun X
Elemental,1000.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,4,True,1,Tesla Gun X
Elemental,1200.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,5,True,1,Tesla Gun X
Elemental,1284.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,6,True,1,Tesla Gun X
Precision,1100.0,0.75,2.0,2,13.2,10.0,0.1,Default,1,False,1,Railgun
Precision,1100.0,0.75,2.0,2,13.2,10.0,0.1,Default,2,False,1,Railgun
Precision,1100.0,0.75,2.0,2,14.52,10.0,0.1,Default,3,False,1,Railgun
Precision,1100.0,0.75,2.0,2,14.52,10.0,0.1,Default,4,False,1,Railgun
Precision,1100.0,0.75,1.7999999999999998,2,14.52,10.0,0.1,Default,5,False,1,Railgun
Precision,1100.0,0.75,1.7999999999999998,2,14.52,10.5,0.1,Default,6,False,1,Railgun
Precision,1100.0,0.75,2.0,2,13.2,10.0,0.1,Arsenal-X,1,True,1,Railgun-X
Precision,1100.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,2,True,1,Railgun-X
Precision,1100.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,3,True,1,Railgun-X
Precision,1100.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,4,True,1,Railgun-X
Precision,1100.0,0.75,2.0,2,15.179999999999998,10.5,0.1,Arsenal-X,5,True,1,Railgun-X
Precision,1100.0,0.75,2.0,2,15.179999999999998,11.0,0.1,Arsenal-X,6,True,1,Railgun-X
Elemental,130.0,0.05,0.1,65,10.0,9.0,0.2,Mythical,1,True,1,Dragonbreath
Elemental,130.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,2,True,1,Dragonbreath
Elemental,130.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,3,True,1,Dragonbreath
Elemental,130.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,4,True,1,Dragonbreath
Elemental,130.0,0.05,0.08000000000000002,65,10.0,9.5,0.2,Mythical,5,True,1,Dragonbreath
Elemental,149.5,0.05,0.08000000000000002,65,10.0,9.5,0.2,Mythical,6,True,1,Dragonbreath
Precision,1400.0,1.0,3.0,2,11.0,8.5,0.13,Mythical,1,True,1,Skybreaker
Precision,1400.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,2,True,1,Skybreaker
Precision,1400.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,3,True,1,Skybreaker
Precision,1400.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,4,True,1,Skybreaker
Precision,1400.0,1.0,3.0,2,12.100000000000001,9.7,0.13,Mythical,5,True,1,Skybreaker
Precision,1609.9999999999998,1.0,3.0,2,12.100000000000001,9.7,0.13,Mythical,6,True,1,Skybreaker
Explosive,1300.0,0.5,2.7,2,11.5,9.0,0.0,Mythical,1,True,1,Hellfire Launcher
Explosive,1300.0,0.5,2.7,2,11.5,9.3,0.0,Mythical,2,True,1,Hellfire Launcher
Explosive,1300.0,0.5,2.7,2,11.5,9.3,0.0,Mythical,3,True,1,Hellfire Launcher
Explosive,1300.0,0.5,2.7,2,11.5,9.3,0.0,Mythical,4,True,1,Hellfire Launcher
Explosive,1300.0,0.5,2.7,2,13.799999999999999,9.3,0.0,Mythical,5,True,1,Hellfire Launcher
Explosive,1494.9999999999998,0.5,2.7,2,13.799999999999999,9.3,0.0,Mythical,6,True,1,Hellfire Launcher
Automatic,250.0,0.05,0.15,80,22.0,10.0,0.2,Mythical,1,True,1,Titan Shredder
Automatic,250.0,0.05,0.075,80,22.0,10.0,0.2,Mythical,2,True,1,Titan Shredder
Automatic,250.0,0.05,0.075,80,22.0,10.0,0.2,Mythical,3,True,1,Titan Shredder
Automatic,250.0,0.05,0.075,80,22.0,10.0,0.2,Mythical,4,True,1,Titan Shredder
Automatic,250.0,0.05,0.06,80,22.0,10.0,0.2,Mythical,5,True,1,Titan Shredder
Automatic,287.5,0.05,0.06,80,22.0,10.0,0.2,Mythical,6,True,1,Titan Shredder
Spread,1250.0,1.0,3.0,3,3.35,8.0,0.13,Mythical,1,True,1,Helios Cannon
Spread,1250.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,2,True,1,Helios Cannon
Spread,1250.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,3,True,1,Helios Cannon
Spread,1250.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,4,True,1,Helios Cannon
Spread,1250.0,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,5,True,1,Helios Cannon
Spread,1437.5,1.0,2.6999999999999997,3,3.35,8.0,0.13,Mythical,6,True,1,Helios Cannon
Precision,1000.0,0.75,2.4,2,12.0,10.0,0.1,Mythical,1,True,1,Wrath Of Artemis
Precision,1000.0,0.75,2.4,2,13.200000000000001,10.0,0.1,Mythical,2,True,1,Wrath Of Artemis
Precision,1000.0,0.75,2.4,2,13.200000000000001,10.0,0.1,Mythical,3,True,1,Wrath Of Artemis
Precision,1000.0,0.75,2.4,2,13.200000000000001,10.0,0.1,Mythical,4,True,1,Wrath Of Artemis
Precision,1000.0,0.75,2.064,2,13.200000000000001,10.0,0.1,Mythical,5,True,1,Wrath Of Artemis
Precision,1150.0,0.75,2.064,2,13.200000000000001,10.0,0.1,Mythical,6,True,1,Wrath Of Artemis
Spread,2220.0,0.65,2.1,3,14.0,9.0,0.1,Default,1,False,2,Boomstick
Spread,2330.0,0.65,2.1,3,14.0,9.0,0.1,Default,2,False,2,Boomstick
Spread,2340.0,0.65,2.1,3,15.400000000000002,9.0,0.1,Default,3,False,2,Boomstick
Spread,2350.0,0.65,2.1,3,15.400000000000002,9.0,0.1,Default,4,False,2,Boomstick
Spread,2365.0,0.65,1.89,3,15.400000000000002,9.0,0.1,Default,5,False,2,Boomstick
Spread,2380.0,0.65,1.89,3,15.400000000000002,9.75,0.1,Default,6,False,2,Boomstick
Spread,2232.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,1,True,2,Boomstick-X
Spread,2344.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,2,True,2,Boomstick-X
Spread,2353.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,3,True,2,Boomstick-X
Spread,2367.0,0.65,2.1,3,14.0,9.0,0.1,Arsenal-X,4,True,2,Boomstick-X
Spread,2385.0,0.65,1.7429999999999999,3,14.0,9.0,0.1,Arsenal-X,5,True,2,Boomstick-X
Spread,2585.1200000000003,0.65,1.7429999999999999,3,14.0,9.0,0.1,Arsenal-X,6,True,2,Boomstick-X
Automatic,1720.0,0.2,2.75,3,14.0,10.0,0.0,Default,1,False,2,Blaster
Automatic,1810.0,0.2,2.75,3,14.0,10.0,0.0,Default,2,False,2,Blaster
Automatic,1820.0,0.2,2.75,3,15.400000000000002,10.0,0.0,Default,3,False,2,Blaster
Automatic,1830.0,0.2,2.75,3,15.400000000000002,10.0,0.0,Default,4,False,2,Blaster
Automatic,1845.0,0.2,2.4749999999999996,3,15.400000000000002,10.0,0.0,Default,5,False,2,Blaster
Automatic,1860.0,0.2,2.4749999999999996,3,15.400000000000002,11.0,0.0,Default,6,False,2,Blaster
Automatic,1730.0,0.2,2.75,3,14.0,10.0,0.0,Arsenal-X,1,True,2,Blaster-X
Automatic,1740.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,2,True,2,Blaster-X
Automatic,1750.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,3,True,2,Blaster-X
Automatic,1760.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,4,True,2,Blaster-X
Automatic,2080.0,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,5,True,2,Blaster-X
Automatic,2194.4,0.2,2.75,3,14.0,10.5,0.0,Arsenal-X,6,True,2,Blaster-X
Explosive,1215.0,1.0,3.0,3,3.35,8.0,0.13,Default,1,False,2,Mortar Gun
Explosive,1284.0,1.0,3.0,3,3.35,8.0,0.13,Default,2,False,2,Mortar Gun
Explosive,1294.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Default,3,False,2,Mortar Gun
Explosive,1304.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Default,4,False,2,Mortar Gun
Explosive,1314.0,1.0,3.0,3,3.6850000000000005,8.5,0.13,Default,5,False,2,Mortar Gun
Explosive,1390.2,1.0,3.0,3,3.6850000000000005,8.5,0.13,Default,6,False,2,Mortar Gun
Explosive,1220.0,1.0,3.0,3,3.35,8.0,0.13,Arsenal-X,1,True,2,Mortar Gun X
Explosive,1226.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,2,True,2,Mortar Gun X
Explosive,1234.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,3,True,2,Mortar Gun X
Explosive,1250.0,1.0,3.0,3,3.6850000000000005,8.0,0.13,Arsenal-X,4,True,2,Mortar Gun X
Explosive,1267.0,1.0,3.0,3,3.6850000000000005,9.0,0.13,Arsenal-X,5,True,2,Mortar Gun X
Explosive,1334.88,1.0,3.0,3,3.6850000000000005,9.0,0.13,Arsenal-X,6,True,2,Mortar Gun X
Elemental,1020.0,0.5,2.7,2,10.0,9.0,0.2,Default,1,False,2,Tesla Gun
Elemental,1030.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,2,False,2,Tesla Gun
Elemental,1170.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,3,False,2,Tesla Gun
Elemental,1180.0,0.5,2.4299999999999997,2,10.0,9.0,0.2,Default,4,False,2,Tesla Gun
Elemental,1190.0,0.5,2.0655,2,10.0,9.0,0.2,Default,5,False,2,Tesla Gun
Elemental,1200.0,0.5,2.0655,2,10.0,9.5,0.2,Default,6,False,2,Tesla Gun
Elemental,1030.0,0.5,2.7,2,10.0,9.0,0.2,Arsenal-X,1,True,2,Tesla Gun X
Elemental,1040.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,2,True,2,Tesla Gun X
Elemental,1050.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,3,True,2,Tesla Gun X
Elemental,1060.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,4,True,2,Tesla Gun X
Elemental,1280.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,5,True,2,Tesla Gun X
Elemental,1391.0,0.5,2.7,2,10.0,9.5,0.2,Arsenal-X,6,True,2,Tesla Gun X
Precision,1120.0,0.75,2.0,2,13.2,10.0,0.1,Default,1,False,2,Railgun
Precision,1130.0,0.75,2.0,2,13.2,10.0,0.1,Default,2,False,2,Railgun
Precision,1140.0,0.75,2.0,2,14.52,10.0,0.1,Default,3,False,2,Railgun
Precision,1150.0,0.75,2.0,2,14.52,10.0,0.1,Default,4,False,2,Railgun
Precision,1165.0,0.75,1.7999999999999998,2,14.52,10.0,0.1,Default,5,False,2,Railgun
Precision,1180.0,0.75,1.7999999999999998,2,14.52,10.5,0.1,Default,6,False,2,Railgun
Precision,1125.0,0.75,2.0,2,13.2,10.0,0.1,Arsenal-X,1,True,2,Railgun-X
Precision,1132.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,2,True,2,Railgun-X
Precision,1144.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,3,True,2,Railgun-X
Precision,1158.0,0.75,2.0,2,13.2,10.5,0.1,Arsenal-X,4,True,2,Railgun-X
Precision,1174.0,0.75,2.0,2,15.179999999999998,10.5,0.1,Arsenal-X,5,True,2,Railgun-X
Precision,1198.0,0.75,2.0,2,15.179999999999998,11.0,0.1,Arsenal-X,6,True,2,Railgun-X
Elemental,134.0,0.05,0.1,65,10.0,9.0,0.2,Mythical,1,True,2,Dragonbreath
Elemental,136.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,2,True,2,Dragonbreath
Elemental,138.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,3,True,2,Dragonbreath
Elemental,140.0,0.05,0.1,65,10.0,9.5,0.2,Mythical,4,True,2,Dragonbreath
Elemental,142.0,0.05,0.08000000000000002,65,10.0,9.5,0.2,Mythical,5,True,2,Dragonbreath
Elemental,166.75,0.05,0.08000000000000002,65,10.0,9.5,0.2,Mythical,6,True,2,Dragonbreath
Precision,1425.0,1.0,3.0,2,11.0,8.5,0.13,Mythical,1,True,2,Skybreaker
Precision,1437.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,2,True,2,Skybreaker
Precision,1451.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,3,True,2,Skybreaker
Precision,1469.0,1.0,3.0,2,12.100000000000001,8.5,0.13,Mythical,4,True,2,Skybreaker
Precision,1485.0,1.0,3.0,2,12.100000000000001,9.7,0.13,Mythical,5,True,2,Skybreaker
Precision,1747.9999999999998,1.0,3.0,2,12.100000000000001,9.7,0.13,Mythical,6,True,2,Skybreaker
Explosive,1332.0,0.5,2.7,2,11.5,9.0,0.0,Mythical,1,True,2,Hellfire Launcher
