identifier,collection,name,url,thumbnailUrl,owner,rank,priceCurrency,priceAmount,Background,Body,Earrings,Eyes,Face,Head,Headgear,LegAccessories,Legs,Mouth,Perk 1,Perk 2,Rarity Class,Skin,Species,level,health,shield,talent_points_available,talent_points_total,earn_rate,character_tokens,Overachiever,Hodler,Grounded,Stonewall,Adrenaline Rush,Overshield,Black Widow,Galvanized,Nano Meds,Resilience,Cold Blooded,Perseverance,Escape Artist,Scavenger,Cool Moves,Brawler,Automatic Weapons Proficiency,Scatter Weapons Proficiency,Precision Weapons Proficiency,Explosive Weapons Proficiency,Elemental Weapons Proficiency
CRHEROES-9edff2-01,CRHEROES-9edff2,Space Shark #1,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Black Widow,Overshield,Gold,Scarred,Space Shark,13,1981,1057,35,35,1.57,13,10,10,10,10,10,0,0,30,10,10,10,10,10,30,10,10,10,10,10,10,10
CRHEROES-9edff2-0100,CRHEROES-9edff2,Space Shark #256,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1ex7m959hg2quhhr7v3drr3hyq6u84w8dr3lwrlymfajyzduy98gs7la875,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Grounded,Cold Blooded,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,276,1,0,11,0,0,2,0,0,1,0,10,0,0,0,0,0,0,1,1,1,0
CRHEROES-9edff2-0101,CRHEROES-9edff2,Space Shark #257,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Scatter Weapons Proficiency,Overachiever,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,58,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,10,0,0,0
CRHEROES-9edff2-0102,CRHEROES-9edff2,Space Shark #258,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Cold Blooded,Galvanized,Gold,Scarred,Space Shark,6,525,279,0,0,0.48,140,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0
CRHEROES-9edff2-0103,CRHEROES-9edff2,Space Shark #259,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1e0dmygdcayxr25vprx59qlc2ln6efk2zf6jp8qvga0mccj5gdxxsr7zpnk,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Resilience,Scatter Weapons Proficiency,Gold,Scarred,Space Shark,6,525,279,0,0,0.48,567,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0
CRHEROES-9edff2-0104,CRHEROES-9edff2,Space Shark #260,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd14dpp0f5pd8wnddx7fkklk8psc0ur2khmw2nv2v6vkrwhqegyj4qqud0nl8,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Adrenaline Rush,Elemental Weapons Proficiency,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,12,0,1,0,0,10,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,10
CRHEROES-9edff2-0105,CRHEROES-9edff2,Space Shark #261,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1agny047a0mxzfxwed79wphf82rz47gu28skueelyyfaxu8yf6dks8gh2sy,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Scavenger,Overachiever,Gold,Scarred,Space Shark,7,689,367,5,5,0.6,730,10,0,0,0,0,1,0,0,0,0,1,0,1,10,2,0,0,0,0,0,0
CRHEROES-9edff2-0106,CRHEROES-9edff2,Space Shark #262,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Hodler,Elemental Weapons Proficiency,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,116,2,10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,10
CRHEROES-9edff2-0107,CRHEROES-9edff2,Space Shark #263,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd1qqqqqqqqqqqqqpgq0rkx70tmr3myr9uada9wez4kkymusw94a9rsn5y7tn,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Scavenger,Automatic Weapons Proficiency,Gold,Scarred,Space Shark,8,869,463,10,10,0.74,458,3,0,0,0,0,2,0,0,0,1,0,0,0,10,0,0,10,0,0,0,0
CRHEROES-9edff2-0108,CRHEROES-9edff2,Space Shark #264,https://media.elrond.com/nfts/asset/bafybeihcobogsxwt2fjbstjhjax5zquerzhwhhbpstmstgizvbzoiyc534/gold_shark.jpg,https://media.elrond.com/nfts/thumbnail/CRHEROES-9edff2-84693664,erd14h9v5sxur6ur30x8t6wsyt2mhgml5mh55fe443fegth80yateenqsreh3n,,,,None,Prisoner,None,Angry,None,None,Default,None,Prisoner,Knife,Automatic Weapons Proficiency,Overshield,Gold,Scarred,Space Shark,10,1273,679,20,20,1.03,3078,2,4,0,0,0,10,1,1,2,3,0,1,2,1,2,1,10,0,0,0,0
